page_id,page_name,revisions
3414021,George_W._Bush,45273
2337812,List_of_WWE_personnel,38158
3434750,United_States,32571
5043734,Wikipedia,32075
14995351,Michael_Jackson,27050
1095706,Jesus,26580
606848,Catholic_Church,23884
27578692,List_of_Total_Drama_characters,25440
534366,Barack_Obama,23514
2731583,Adolf_Hitler,23499
3382,Britney_Spears,23106
32927,World_War_II,22675
3784152,List_of_programs_broadcast_by_ABS-CBN,22060
421853,Wii,21562
36258669,Deaths_in_2009,20902
29812,The_Beatles,21557
36258669,Deaths_in_2010,20854
14533,India,20795
345792,The_Undertaker,20763
31717,United_Kingdom,20247
6299613,2006_Lebanon_War,19818
26413,Real_Madrid_C.F.,19785
24951,PlayStation_3,19782
251212,RuneScape,19671
5042951,Global_warming,19661
262376,Roger_Federer,19431
36258669,Deaths_in_2008,19071
36258669,Deaths_in_2013,19069
17909,Led_Zeppelin,18928
52547,Jehovah's_Witnesses,18902
68187,FC_Barcelona,18474
9317,European_Union,18881
191890,American_Idol,18346
83688,Beyonce_Knowles,18319
36258669,Deaths_in_2007,18214
18934,Muhammad,18184
6037917,Islam,18132
311937,Kane_(wrestler),17968
5042916,Canada,17863
4429395,Eminem,17602
26589,Red_Hot_Chili_Peppers,17808
645042,New_York_City,17542
36258669,Deaths_in_2012,17338
5058690,September_11_attacks,17325
5211,Christianity,17273
9288,Elvis_Presley,17211
62676,WWE,16967
8209,Doctor_Who,16951
19499,Mariah_Carey,16900
25433,Ronald_Reagan,16798
12,Anarchism,16789
345802,John_Cena,16733
13736167,Paul_McCartney,16723
2569378,Hurricane_Katrina,16699
7514833,Xbox_360,16648
17867,London,16530
36258669,Deaths_in_2011,16436
9282173,Israel,16435
57802,Newcastle_United_F.C.,16380
1342873,Vijay_(actor),16370
6886,Chicago,16363
2574542,List_of_programs_broadcast_by_GMA_Network,16340
11867,Germany,16308
406859,"United_States_presidential_election,_2008",16305
42930508,List_of_Omnitrix_aliens,16262
69708,Celtic_F.C.,16051
23440,Philippines,15986
14653,Iran,15959
2337719,List_of_Total_Nonstop_Action_Wrestling_personnel,15920
1291598,List_of_best-selling_music_artists,15852
5079506,Pink_Floyd,15787
4132613,Blackout_(Britney_Spears_album),15751
142056,Madonna_(entertainer),15720
19961,Manchester_United_F.C.,15718
15573,Japan,15685
440467,WWE_Raw,15549
303225,Triple_H,15363
12981647,Super_Smash_Bros._Brawl,15356
23235,Pakistan,15320
5043324,Iraq_War,15297
306723,Edge_(wrestler),15263
2177376,Britney_Spears_discography,15256
23805,Pope_John_Paul_II,15232
12108,Greece,15196
26994,Scotland,15167
27019,South_Korea,15063
144171,Christina_Aguilera,15062
7473,Chelsea_F.C.,15057
147575,Ireland,14959
4764461,World_War_I,14946
2773076,Guns_N'_Roses,14934
736,Albert_Einstein,14872
1481886,Cannabis_(drug),14810
43387371,Gaza_War,14796
16454230,Lost_(TV_series),14786
307,Abraham_Lincoln,14764
9904,England_national_football_team,14751
3356,Bill_Clinton,14715
13118744,Scientology,14654
8242057,Blink-182,14595
1620586,Avatar:_The_Last_Airbender,14581
11125639,Turkey,14542
29056,Sonic_the_Hedgehog_(character),14425
25391,Russia,14389
2941511,Sarah_Palin,14350
414848,Kelly_Clarkson,14253
3383,Brazil,14183
2034236,Organization_XIII,14164
11054,Fascism,14151
5207311,Heroes_(TV_series),14095
3267529,Buddhism,14087
36258669,Deaths_in_2006,14069
23033,Portugal,14068
30741795,Syrian_civil_war,14064
5122699,John_Kerry,14000
156126,Dwayne_Johnson,13973
4689264,Australia,13958
9236,Evolution,13957
372801,Akatsuki_(Naruto),13931
621063,America's_Next_Top_Model,13886
2387806,Harry_Potter,13833
776049,Harry_Potter_and_the_Deathly_Hallows,13816
578152,Big_Show,13698
17771,Lebanon,13693
372801,List_of_Naruto_characters,13671
4637590,Bob_Dylan,13556
32611,Vietnam_War,13513
5405,China,13506
36165,2007,13498
92656,Same-sex_marriage,13470
39660,Pope_Benedict_XVI,13459
89847,IPod,13457
18787,Metallica,13451
4732861,Neighbours,13447
22468,Osama_bin_Laden,13315
15641,Joseph_Stalin,13307
287673,List_of_programs_broadcast_by_Cartoon_Network,13277
14532,Italy,13276
247468,Rey_Mysterio,13255
68769,24_(TV_series),13252
2300721,Grand_Theft_Auto_IV,13230
157233,2006_FIFA_World_Cup,13227
11315,Friends,13164
10396793,The_Holocaust,13157
15295,Intelligent_design,13145
35825,2008,13104
1673471,The_Suite_Life_of_Zack_&_Cody,13101
69058,List_of_countries_by_population,13091
32387701,Joseph_Smith,13084
15247542,Atheism,13052
168455,Home_and_Away,13050
9316,England,13041
15852,John_Lennon,13032
26678,Star_Wars,13031
619009,PlayStation_Portable,13012
38301,Fidel_Castro,12989
11968,George_Washington,12989
149225,AC/DC,12973
3966054,Mexico,12951
13543,Hinduism,12945
4276475,The_Dark_Knight_(film),12922
2110323,Rihanna,12888
210892,Firefox,12868
2289648,Windows_Vista,12864
52726,Green_Day,12821
6678,Cat,12803
18119,Liverpool_F.C.,12788
27977,South_Park,12767
45246,Korn,12766
5416,Capitalism,12740
1617333,List_of_best-selling_video_games,12738
9287211,Hilary_Duff,12707
7959,Democracy,12704
59892,List_of_highest-grossing_films,12673
22989,Paris,12664
886286,List_of_top_300_Major_League_Baseball_home_run_hitters,12657
657682,List_of_Family_Guy_characters,12627
13869,Heavy_metal_music,12622
11014515,List_of_ethnic_slurs,12618
42068,Freddie_Mercury,12601
12330092,Girls'_Generation,12599
5843419,France,12588
296266,List_of_Doctor_Who_serials,12587
1535727,Carrie_Underwood,12586
8490390,Lindsay_Lohan,12579
1077137,9/11_conspiracy_theories,12522
585896,Naruto_Uzumaki,12508
5119376,John_F._Kennedy,12502
346200,Kurt_Angle,12491
46417,West_Ham_United_F.C.,12458
18951905,Argentina,12457
5935,The_Church_of_Jesus_Christ_of_Latter-day_Saints,12456
8060,Dominican_Republic,12432
42010,Queen_(band),12374
10705678,Virginia_Tech_massacre,12367
19285924,RMS_Titanic,12345
52780,U2,12327
29838,The_Simpsons,12296
808402,Mexico_national_football_team,12295
1181487,Halo_3,12285
3071213,Rihanna_discography,12270
192481,50_Cent,12234
53862,Darth_Vader,12227
29810,Texas,12217
37534,Hyderabad,12211
28480,Spice_Girls,12211
24095,"Diana,_Princess_of_Wales",12194
1886892,Warriors_(novel_series),12169
3747,Bill_Gates,12154
26667,Spain,12144
49728,San_Francisco,12104
48874,Hugo_Chavez,12102
4199629,List_of_SpongeBob_SquarePants_characters,12101
159172,Iron_Maiden,12100
29490,Saddam_Hussein,12090
38252,Radiohead,12073
3454,Bangladesh,12038
5488304,Homosexuality,12037
26825,Spanish_language,11987
5222,Colombia,12003
240940,LeBron_James,11956
18762503,Russia?Georgia_war,11944
8718425,Circumcision,11943
4335,Batman,11920
471284,List_of_experiments_from_Lilo_&_Stitch,11909
2872825,List_of_social_networking_websites,11902
28715,System_of_a_Down,11900
16175,Jennifer_Lopez,11898
32897,William_Shakespeare,11842
22278,Ottoman_Empire,11807
25445,Romania,11801
29922,Thomas_Jefferson,11803
5043192,Hillary_Rodham_Clinton,11799
17157886,Star_Trek,11799
572605,Goku,11791
69713,Rangers_F.C.,11789
26494,Race_and_intelligence,11691
16095,Jimi_Hendrix,11771
765,Abortion,11654
17279743,Cartoon_Network,11625
27318,Singapore,11605
4913064,New_Zealand,11555
205522,Ann_Coulter,11539
64646,Toronto,11546
8687,Detroit,11533
5058739,Sweden,11539
3301347,Tony_Blair,11528
246185,Kobe_Bryant,11516
11217925,Paris_Hilton,11488
21197,Nintendo,11486
12824609,ATP_World_Tour_records,11479
737,Afghanistan,11455
6479315,Shakira,11438
1656784,CM_Punk,11430
29265,Serbia,11426
3306279,Beyonce_Knowles_discography,11425
306325,Shawn_Michaels,11386
738,Albania,11370
9313589,Wizards_of_Waverly_Place,11366
1925533,List_of_EastEnders_characters,11364
21255,North_Korea,11361
26847,Socialism,11357
1439517,Rafael_Nadal,11327
3284182,List_of_spells_in_Harry_Potter,11325
19318,Marilyn_Monroe,11319
215566,Pink_(singer),11303
301775,Hulk_Hogan,11296
1725303,List_of_programs_broadcast_by_Nickelodeon,11275
184474,Sunderland_A.F.C.,11270
68198,Tottenham_Hotspur_F.C.,11245
5593,Cyprus,11241
17414699,Genghis_Khan,11234
13623554,Che_Guevara,11198
220160,Thierry_Henry,11187
67147,Neuro-linguistic_programming,11184
13774,Houston,11174
25613,Racism,11156
18646,Linkin_Park,11137
205565,List_of_United_States_political_families,11127
342825,WWE_SmackDown,11108
3225498,Libertarianism,11105
2655089,SpongeBob_SquarePants,11102
19379,Mahatma_Gandhi,11098
21241,Norway,11078
32851,Wiki,11074
772173,Maria_Sharapova,11060
34071,Whitney_Houston,11047
884607,Desperate_Housewives,11040
36164,2006,11038
19666611,War_in_Afghanistan_(2001?present),11037
27936,Spider-Man,11020
13187026,List_of_iCarly_episodes,11001
3415,Bulgaria,10992
16921974,2014_and_beyond_in_film,10994
302808,List_of_films_considered_the_worst,10989
6097297,Linux,10991
879605,Chevrolet_Vega,10988
332400,Shadow_the_Hedgehog,10980
5042481,Cuba,10979
2190438,Ashley_Tisdale,10968
76972,Denmark,10963
17391,Kosovo,10957
545367,Drake_&_Josh,10951
8841749,IPhone,10949
19568112,Golf,10936
13404,Hong_Kong,10928
564301,Portsmouth_F.C.,10925
228211,Futurama,10915
21212,Nazi_Germany,10903
16707,Kurt_Cobain,10900
438022,Nintendo_DS,10894
2150841,Lionel_Messi,10888
31341,Tupac_Shakur,10886
2236472,Transformers_(film),10878
21148,Netherlands,10869
6654,Chicago_Cubs,10862
64072,Homer_Simpson,10860
1778716,Jesse_McCartney,10856
20455,Michael_Jordan,10855
352699,Shahrukh_Khan,10825
424778,Chris_Jericho,10790
31056,The_Rolling_Stones,10782
2174,Arsenal_F.C.,10754
187749,Ethiopia,10750
856,Apple_Inc.,10749
8135890,Miley_Cyrus,10745
13855,Halloween,10744
5489,Chile,10742
10577,Finland,10742
29798,The_Lord_of_the_Rings,10735
23037,Punk_rock,10734
35983,2009,10724
939380,List_of_Mario_franchise_characters,10724
1328236,2004_Indian_Ocean_earthquake_and_tsunami,10723
6803715,Nicole_Scherzinger,10708
12153654,Elizabeth_II,10707
11250,Premier_League,10705
32591,Vegetarianism,10692
9228,Earth,10691
1025920,Club_America,10680
21231,Nirvana_(band),10678
1745270,Kingdom_Hearts_II,10676
18836,Middle_Ages,10671
22015,Neopets,10663
182000,Gulf_War,10658
13275,Hungary,10655
582488,United_States_men's_national_soccer_team,10650
7765099,Jyllands-Posten_Muhammad_cartoons_controversy,10638
426208,Mitt_Romney,10634
5042765,God,10625
77880,Zinedine_Zidane,10619
7515928,Iraq,10599
16772,Korean_War,10590
740107,Sasuke_Uchiha,10589
166202,White_people,10580
32070,Republican_Party_(United_States),10577
16043,Jerusalem,10579
286369,Assassination_of_John_F._Kennedy,10573
34669,1992,10568
31752,Ulysses_S._Grant,10562
165507,Avril_Lavigne,10556
47646,Hippie,10543
188564,Bill_O'Reilly_(political_commentator),10523
863,American_Civil_War,10522
4099353,List_of_Disney_Channel_series,10520
682482,Human,10515
4294,British_National_Party,10487
339,Ayn_Rand,10473
980836,Andy_Murray,10472
18110,Los_Angeles,10468
23041,Puerto_Rico,10465
979542,Fenerbahce_S.K.,10449
25821,Romeo_and_Juliet,10435
660333,Bleach_(manga),10430
4269567,Dog,10401
665823,Randy_Orton,10390
11121,Fox_News_Channel,10379
34059,War_of_1812,10377
19189,Mumbai,10376
14579,Indonesia,10375
187586,Family_Guy,10371
5042862,Chinese_civilization,10361
379591,World_of_Warcraft,10370
19848420,List_of_iCarly_characters,10351
1610197,The_Legend_of_Zelda:_Twilight_Princess,10352
783,Alexander_the_Great,10345
966943,List_of_Family_Guy_episodes,10345
30706524,Libyan_civil_war,10336
108956,"Washington,_D.C.",10316
27862,Sydney,10313
623737,Cristiano_Ronaldo,10275
32817,Vladimir_Putin,10272
7529378,Facebook,10257
80696,Cher,10255
7907317,Mahmoud_Ahmadinejad,10253
23243880,Lance_Armstrong,10234
1216,Athens,10231
14914,Industrial_Revolution,10229
14229,Homeopathy,10224
1092923,Google,10205
32374,Venezuela,10203
8618,David_Beckham,10195
3391396,Istanbul,10189
22093,National_Basketball_Association,10187
33158,War,10143
39027,Mike_Tyson,10128
60070,Janet_Jackson,10134
37313,Bruce_Lee,10124
25473,Richard_Nixon,10126
19001,Microsoft,10116
3607937,Malaysia,10117
81361,Mario,10103
613534,Rajinikanth,10111
16749,Korea,10100
16779,Ku_Klux_Klan,10083
217226,Scrubs_(TV_series),10081
11983273,Aishwarya_Rai_Bachchan,10070
574076,S.L._Benfica,10069
15043,International_Space_Station,10066
4349459,Kerala,10059
178244,Muse_(band),10061
26748,Switzerland,10058
154549,Nickelodeon,10057
26743,Sigmund_Freud,10052
211583,Dubai,10046
1273596,House_(TV_series),10041
10292532,ICarly,10027
5043544,Democratic_Party_(United_States),10015
34598,1993,10013
16743,Karl_Marx,9997
3463364,High_School_Musical,9994
232190,Naruto,9984
8569916,English_language,9982
19527,Mao_Zedong,9971
30035,The_Legend_of_Zelda,9971
168715,Ron_Paul,9961
32587,Veganism,9961
17782843,Lady_Gaga,9958
702117,Spider-Man_3,9952
80103,Coldplay,9935
164910,Serena_Williams,9926
372801,List_of_Naruto_antagonists,9924
356167,Stone_Cold_Steve_Austin,9911
11983070,Johnny_Cash,9902
161515,Oasis_(band),9900
20076,"Martin_Luther_King,_Jr.",9896
91155,Everton_F.C.,9890
181173,Airbus_A380,9889
64976,Attention_deficit_hyperactivity_disorder,9880
42173,Aston_Villa_F.C.,9879
10114596,List_of_Wizards_of_Waverly_Place_episodes,9875
21217,Native_Americans_in_the_United_States,9871
21211,National_Football_League,9867
12731,George_Harrison,9853
3354,Berlin,9852
609825,Spain_national_football_team,9833
11633375,Total_Drama_Island,9829
9209651,Communism,9827
13919,Hezbollah,9821
3703446,Jimmy_Wales,9814
13373,Haiti,9808
17416221,South_Africa,9809
639842,Pokemon_(anime),9806
292279,List_of_recurring_The_Simpsons_characters,9807
1047970,Avenged_Sevenfold,9805
13913,Hamas,9789
25734,Taiwan,9788
5326,Creationism,9786
999957,One_Tree_Hill_(TV_series),9786
652402,Dave_Batista,9785
14498090,Fall_Out_Boy,9783
27358,Somalia,9783
13425800,War_on_Terror,9778
30535,Theodore_Roosevelt,9768
2299922,List_of_Disney_Channel_Original_Movies,9762
4077399,List_of_Ben_10_characters,9761
32706,Vancouver,9758
14724189,The_X_Factor_(UK_TV_series),9747
1229550,Olympiacos_F.C.,9724
4721,British_Empire,9716
670910,Terri_Schiavo_case,9713
37556,Asperger_syndrome,9711
2589713,Chernobyl_disaster,9708
17416342,Xbox_(console),9675
14560,Republic_of_Ireland,9670
7954681,Montreal,9664
18562,Leet,9655
19283335,Great_Depression,9646
34703,1991,9640
15808914,International_recognition_of_Kosovo,9617
3343,Belgium,9608
24437894,Boston,9597
1117939,Fernando_Torres,9601
3138,Atlanta,9590
858575,Harry_Potter_and_the_Half-Blood_Prince_(film),9585
5042706,Al_Gore,9577
19404136,Angels_&_Airwaves,9560
9334,Ecuador,9555
172997,Airsoft,9551
26903,Solar_System,9541
60098,Attack_on_Pearl_Harbor,9544
6237,Christmas,9538
7567080,Martin_Luther,9539
153295,Daniel_Radcliffe,9532
1806,Arnold_Schwarzenegger,9533
149286,Brazil_national_football_team,9509
7515964,Jordan,9514
1348,AK-47,9481
28381,Superman,9499
558500,List_of_alternative_rock_artists,9472
1213838,Toy_Story_3,9463
98301,Joker_(comics),9459
46313,Globalization,9457
5635,Christopher_Columbus,9455
18524,Latin_America,9439
19457,Burma,9435
19644137,Mobile_phone,9436
16100029,Novak_Djokovic,9422
6106572,List_of_Hollows_in_Bleach,9421
232863,The_Fairly_OddParents,9417
722403,Raven-Symone,9418
325329,Cold_War,9411
2144,Aaliyah,9416
931216,My_Chemical_Romance,9404
45139,Chennai,9400
594388,Girls_Aloud,9396
4501,Black_Death,9395
10568,Association_football,9390
11986,Godzilla,9389
15604,James_Bond,9386
7738,Chiropractic,9380
1575603,Metal_Gear_Solid_4:_Guns_of_the_Patriots,9377
894013,The_Game_(rapper),9375
1078,Antisemitism,9362
25246990,List_of_Big_Time_Rush_episodes,9362
142238,Kiss_(band),9359
31655,Second_Amendment_to_the_United_States_Constitution,9356
33589,Walmart,9350
146167,Nas,9346
12319832,Transformers:_Revenge_of_the_Fallen,9341
1648069,Melina_Perez,9316
838950,Priyanka_Chopra,9314
201936,2003_invasion_of_Iraq,9313
1849758,Mickie_James,9313
27743,Solar_energy,9310
43715,John_McCain,9306
19831,Margaret_Thatcher,9306
31509,Hulk_(comics),9302
1678965,Wicked_(musical),9297
438904,Christian_(wrestler),9296
69880,Napoleon,9284
15613,Jazz,9252
1902036,List_of_Wii_games,9262
604727,Coffee,9242
1660277,Grey's_Anatomy,9240
21473,Nikola_Tesla,9233
8389,Major_depressive_disorder,9230
52371,Titanic_(1997_film),9229
20878980,C.D._Guadalajara,9225
170691,Peru,9223
2995553,The_Office_(U.S._TV_series),9221
2893218,Panic!_at_the_Disco,9215
2685664,Sonic_the_Hedgehog_(2006_video_game),9197
66164,Ronaldo,9196
13595,London_Heathrow_Airport,9195
19706670,I_Am..._Sasha_Fierce,9191
77808,Disney_Channel,9187
690256,Jeff_Hardy,9185
20347,Meaning_of_life,9184
9239,Europe,9182
28617,Statue_of_Liberty,9182
20246201,"Republican_Party_presidential_primaries,_2012",9178
140332,List_of_The_Simpsons_episodes,9172
7412236,Steve_Jobs,9166
168540,Lil_Wayne,9153
23745,Pokemon,9147
